CHECKID;	CHECK;	THRESHOLD;		RULE EVALUATION;	DEP FEATURE;	RECOMMENDED VERSION;	MESSAGE			
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ID1;		<;	1.3.3-2;			;		;			1.3.3-2;	Older than recommended versions. 
ID2;		<;	11.2.3.2.0;		      	;		;			11.2.3.2.1;	Older than recommended versions. 
ID3;		<;	11.2.3.2.1;		      	FIXED;		WBFC;			11.2.3.2.1;	Write-back Flash Cache required minimum 11.2.3.2.1 not met.
ID4;		<;	11.2.3.2.0;			;		;			11.2.3.2.1;	Older than recommended versions. 
ID5;		<;	11.2.0.2.0;			;		;			11.2.0.3.17;	Older than recommended versions. Current version out of Error Correction Support.
ID6;		>=,<;	11.2.0.2.0,11.2.0.2.18;		;		;			11.2.0.2.20;	Older than recommended versions. 
ID7;		>=,<;	11.2.0.2.0,11.2.0.3.0;		;		;			11.2.0.3.17;	Target end of Error Correction Support Oct 2013.
ID8;		>=,<;	11.2.0.3.0,11.2.0.3.10;		;		;			11.2.0.3.17;	Older than recommended versions. 
ID9;		>=,<;	11.2.0.3.0,11.2.0.3.9;		FIXED;		WBFC;			11.2.0.3.17;	Write-back Flash Cache required minimum 11.2.0.3.9 not met.	
ID10;		<;	11.2.0.2.0;			;		;			11.2.0.3.17;	Older than recommended versions. Current version out of Error Correction Support.
ID11;		>=,<;	11.2.0.2.0,11.2.0.2.18;		;		;			11.2.0.2.20;	Older than recommended versions.
ID12;		>=,<;	11.2.0.2.0,11.2.0.3.0;		;		;			11.2.0.3.17;	Target end of Error Correction Support Oct 2013.
ID13;		>=,<;	11.2.0.3.0,11.2.0.3.10;		;		;			11.2.0.3.17;	Older than recommended versions.
ID14;		<;	11.2.0.2.11;			;		SMART FLASH LOG;	11.2.0.2.20;	Smart Flash Log required minimum 11.2.0.2.11 not met.	
