TO REVIEW COLLECTED DATA FROM DM01DB02 - CCBS DATABASE - VKTM PRIORITY 



F S UID        PID  PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S oracle    6378     1  0  75   0 - 10544350 ?   10:29 ?        00:00:00 ora_w002_ccbs2
0 S oracle    6483     1  0  75   0 - 10545376 ?   10:55 ?        00:00:00 ora_p000_ccbs2
0 S oracle    6485     1  0  75   0 - 10545377 ?   10:55 ?        00:00:00 ora_p001_ccbs2
0 S oracle    6487     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p002_ccbs2
0 S oracle    6489     1  0  75   0 - 10545375 ?   10:55 ?        00:00:00 ora_p003_ccbs2
0 S oracle    6491     1  0  75   0 - 10545376 ?   10:55 ?        00:00:00 ora_p004_ccbs2
0 S oracle    6493     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p005_ccbs2
0 S oracle    6495     1  0  75   0 - 10545377 ?   10:55 ?        00:00:00 ora_p006_ccbs2
0 S oracle    6497     1  0  75   0 - 10545378 ?   10:55 ?        00:00:00 ora_p007_ccbs2
0 S oracle    6499     1  0  75   0 - 10545377 ?   10:55 ?        00:00:00 ora_p008_ccbs2
0 S oracle    6553     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p009_ccbs2
0 S oracle    6578     1  0  75   0 - 10545375 ?   10:55 ?        00:00:00 ora_p010_ccbs2
0 S oracle    6580     1  0  75   0 - 10545379 ?   10:55 ?        00:00:00 ora_p011_ccbs2
0 S oracle    6582     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p012_ccbs2
0 S oracle    6585     1  0  75   0 - 10545377 ?   10:55 ?        00:00:00 ora_p013_ccbs2
0 S oracle    6587     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p014_ccbs2
0 S oracle    6589     1  0  75   0 - 10545376 ?   10:55 ?        00:00:00 ora_p015_ccbs2
0 S oracle    6591     1  0  75   0 - 10545376 ?   10:55 ?        00:00:00 ora_p016_ccbs2
0 S oracle    6593     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p017_ccbs2
0 S oracle    6595     1  0  75   0 - 10545676 ?   10:55 ?        00:00:00 ora_p018_ccbs2
0 S oracle    6597     1  0  75   0 - 10545378 ?   10:55 ?        00:00:00 ora_p019_ccbs2
0 S oracle    6599     1  0  75   0 - 10545377 ?   10:55 ?        00:00:00 ora_p020_ccbs2
0 S oracle    6601     1  0  75   0 - 10545378 ?   10:55 ?        00:00:00 ora_p021_ccbs2
0 S oracle    6603     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p022_ccbs2
0 S oracle    6609     1  0  75   0 - 10545378 ?   10:55 ?        00:00:00 ora_p023_ccbs2
0 S oracle    6612     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p024_ccbs2
0 S oracle    6614     1  0  75   0 - 10545674 ?   10:55 ?        00:00:00 ora_p025_ccbs2
0 S oracle    6616     1  0  75   0 - 10545378 ?   10:55 ?        00:00:00 ora_p026_ccbs2
0 S oracle    6618     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p027_ccbs2
0 S oracle    6620     1  0  75   0 - 10545676 ?   10:55 ?        00:00:00 ora_p028_ccbs2
0 S oracle    6622     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p029_ccbs2
0 S oracle    6624     1  0  75   0 - 10545376 ?   10:55 ?        00:00:00 ora_p030_ccbs2
0 S oracle    6627     1  0  75   0 - 10545376 ?   10:55 ?        00:00:00 ora_p031_ccbs2
0 S oracle    6629     1  0  75   0 - 10545375 ?   10:55 ?        00:00:00 ora_p032_ccbs2
0 S oracle    6631     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p033_ccbs2
0 S oracle    6643     1  0  75   0 - 10545378 ?   10:55 ?        00:00:00 ora_p034_ccbs2
0 S oracle    6647     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p035_ccbs2
0 S oracle    6649     1  0  75   0 - 10545379 ?   10:55 ?        00:00:00 ora_p036_ccbs2
0 S oracle    6651     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p037_ccbs2
0 S oracle    6653     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p038_ccbs2
0 S oracle    6655     1  0  75   0 - 10545377 ?   10:55 ?        00:00:00 ora_p039_ccbs2
0 S oracle    6657     1  0  75   0 - 10545377 ?   10:55 ?        00:00:00 ora_p040_ccbs2
0 S oracle    6659     1  0  75   0 - 10545374 ?   10:55 ?        00:00:00 ora_p041_ccbs2
0 S oracle    6661     1  0  75   0 - 10545376 ?   10:55 ?        00:00:00 ora_p042_ccbs2
0 S oracle    6663     1  0  75   0 - 10545377 ?   10:55 ?        00:00:00 ora_p043_ccbs2
0 S oracle    6665     1  0  75   0 - 10545678 ?   10:55 ?        00:00:00 ora_p044_ccbs2
0 S oracle    6667     1  0  75   0 - 10545379 ?   10:55 ?        00:00:00 ora_p045_ccbs2
0 S oracle    6669     1  0  75   0 - 10545379 ?   10:55 ?        00:00:00 ora_p046_ccbs2
0 S oracle    6671     1  0  75   0 - 10545376 ?   10:55 ?        00:00:00 ora_p047_ccbs2
0 S oracle    6693     1  0  75   0 - 10546144 ?   10:55 ?        00:00:01 ora_p048_ccbs2
0 S oracle    6695     1  0  75   0 - 10546401 ?   10:55 ?        00:00:01 ora_p049_ccbs2
0 S oracle    6698     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p050_ccbs2
0 S oracle    6701     1  0  75   0 - 10546400 ?   10:55 ?        00:00:00 ora_p051_ccbs2
0 S oracle    6703     1  0  75   0 - 10546144 ?   10:55 ?        00:00:00 ora_p052_ccbs2
