TO REVIEW COLLECTED DATA FROM DM01CEL02 FOR VERIFY GRIDDISK ASM STATUS 



	 DATA_CD_00_dm01cel02   	 active	 ONLINE	 Yes
	 DATA_CD_01_dm01cel02   	 active	 ONLINE	 Yes
	 DATA_CD_02_dm01cel02   	 active	 ONLINE	 Yes
	 DATA_CD_03_dm01cel02   	 active	 ONLINE	 Yes
	 DATA_CD_04_dm01cel02   	 active	 ONLINE	 Yes
	 DATA_CD_05_dm01cel02   	 active	 ONLINE	 Yes
	 DATA_CD_06_dm01cel02   	 active	 ONLINE	 Yes
	 DATA_CD_07_dm01cel02   	 active	 ONLINE	 Yes
	 DATA_CD_08_dm01cel02   	 active	 ONLINE	 Yes
	 DATA_CD_09_dm01cel02   	 active	 ONLINE	 Yes
	 DATA_CD_10_dm01cel02   	 active	 ONLINE	 Yes
	 DATA_CD_11_dm01cel02   	 active	 ONLINE	 Yes
	 DBFS_DG_CD_02_dm01cel02	 active	 ONLINE	 Yes
	 DBFS_DG_CD_03_dm01cel02	 active	 ONLINE	 Yes
	 DBFS_DG_CD_04_dm01cel02	 active	 ONLINE	 Yes
	 DBFS_DG_CD_05_dm01cel02	 active	 ONLINE	 Yes
	 DBFS_DG_CD_06_dm01cel02	 active	 ONLINE	 Yes
	 DBFS_DG_CD_07_dm01cel02	 active	 ONLINE	 Yes
	 DBFS_DG_CD_08_dm01cel02	 active	 ONLINE	 Yes
	 DBFS_DG_CD_09_dm01cel02	 active	 ONLINE	 Yes
	 DBFS_DG_CD_10_dm01cel02	 active	 ONLINE	 Yes
	 DBFS_DG_CD_11_dm01cel02	 active	 ONLINE	 Yes
	 RECO_CD_00_dm01cel02   	 active	 ONLINE	 Yes
	 RECO_CD_01_dm01cel02   	 active	 ONLINE	 Yes
	 RECO_CD_02_dm01cel02   	 active	 ONLINE	 Yes
	 RECO_CD_03_dm01cel02   	 active	 ONLINE	 Yes
	 RECO_CD_04_dm01cel02   	 active	 ONLINE	 Yes
	 RECO_CD_05_dm01cel02   	 active	 ONLINE	 Yes
	 RECO_CD_06_dm01cel02   	 active	 ONLINE	 Yes
	 RECO_CD_07_dm01cel02   	 active	 ONLINE	 Yes
	 RECO_CD_08_dm01cel02   	 active	 ONLINE	 Yes
	 RECO_CD_09_dm01cel02   	 active	 ONLINE	 Yes
	 RECO_CD_10_dm01cel02   	 active	 ONLINE	 Yes
	 RECO_CD_11_dm01cel02   	 active	 ONLINE	 Yes




TO REVIEW COLLECTED DATA FROM DM01CEL03 FOR VERIFY GRIDDISK ASM STATUS 



	 DATA_CD_00_dm01cel03   	 active	 ONLINE	 Yes
	 DATA_CD_01_dm01cel03   	 active	 ONLINE	 Yes
	 DATA_CD_02_dm01cel03   	 active	 ONLINE	 Yes
	 DATA_CD_03_dm01cel03   	 active	 ONLINE	 Yes
	 DATA_CD_04_dm01cel03   	 active	 ONLINE	 Yes
	 DATA_CD_05_dm01cel03   	 active	 ONLINE	 Yes
	 DATA_CD_06_dm01cel03   	 active	 ONLINE	 Yes
	 DATA_CD_07_dm01cel03   	 active	 ONLINE	 Yes
	 DATA_CD_08_dm01cel03   	 active	 ONLINE	 Yes
	 DATA_CD_09_dm01cel03   	 active	 ONLINE	 Yes
	 DATA_CD_10_dm01cel03   	 active	 ONLINE	 Yes
	 DATA_CD_11_dm01cel03   	 active	 ONLINE	 Yes
	 DBFS_DG_CD_02_dm01cel03	 active	 ONLINE	 Yes
	 DBFS_DG_CD_03_dm01cel03	 active	 ONLINE	 Yes
	 DBFS_DG_CD_04_dm01cel03	 active	 ONLINE	 Yes
	 DBFS_DG_CD_05_dm01cel03	 active	 ONLINE	 Yes
	 DBFS_DG_CD_06_dm01cel03	 active	 ONLINE	 Yes
	 DBFS_DG_CD_07_dm01cel03	 active	 ONLINE	 Yes
	 DBFS_DG_CD_08_dm01cel03	 active	 ONLINE	 Yes
	 DBFS_DG_CD_09_dm01cel03	 active	 ONLINE	 Yes
	 DBFS_DG_CD_10_dm01cel03	 active	 ONLINE	 Yes
	 DBFS_DG_CD_11_dm01cel03	 active	 ONLINE	 Yes
	 RECO_CD_00_dm01cel03   	 active	 ONLINE	 Yes
	 RECO_CD_01_dm01cel03   	 active	 ONLINE	 Yes
	 RECO_CD_02_dm01cel03   	 active	 ONLINE	 Yes
	 RECO_CD_03_dm01cel03   	 active	 ONLINE	 Yes
	 RECO_CD_04_dm01cel03   	 active	 ONLINE	 Yes
	 RECO_CD_05_dm01cel03   	 active	 ONLINE	 Yes
	 RECO_CD_06_dm01cel03   	 active	 ONLINE	 Yes
	 RECO_CD_07_dm01cel03   	 active	 ONLINE	 Yes
	 RECO_CD_08_dm01cel03   	 active	 ONLINE	 Yes
	 RECO_CD_09_dm01cel03   	 active	 ONLINE	 Yes
	 RECO_CD_10_dm01cel03   	 active	 ONLINE	 Yes
	 RECO_CD_11_dm01cel03   	 active	 ONLINE	 Yes




