TO REVIEW COLLECTED DATA FROM DM01CEL01 FOR EXADATA CELLDISK PREDICTIVE FAILURES 




NOTE: Celldisk Name, Status, Size Attributes

	 CD_00_dm01cel01	 normal	 528.734375G
	 CD_01_dm01cel01	 normal	 528.734375G
	 CD_02_dm01cel01	 normal	 557.859375G
	 CD_03_dm01cel01	 normal	 557.859375G
	 CD_04_dm01cel01	 normal	 557.859375G
	 CD_05_dm01cel01	 normal	 557.859375G
	 CD_06_dm01cel01	 normal	 557.859375G
	 CD_07_dm01cel01	 normal	 557.859375G
	 CD_08_dm01cel01	 normal	 557.859375G
	 CD_09_dm01cel01	 normal	 557.859375G
	 CD_10_dm01cel01	 normal	 557.859375G
	 CD_11_dm01cel01	 normal	 557.859375G
	 FD_00_dm01cel01	 normal	 22.875G
	 FD_01_dm01cel01	 normal	 22.875G
	 FD_02_dm01cel01	 normal	 22.875G
	 FD_03_dm01cel01	 normal	 22.875G
	 FD_04_dm01cel01	 normal	 22.875G
	 FD_05_dm01cel01	 normal	 22.875G
	 FD_06_dm01cel01	 normal	 22.875G
	 FD_07_dm01cel01	 normal	 22.875G
	 FD_08_dm01cel01	 normal	 22.875G
	 FD_09_dm01cel01	 normal	 22.875G
	 FD_10_dm01cel01	 normal	 22.875G
	 FD_11_dm01cel01	 normal	 22.875G
	 FD_12_dm01cel01	 normal	 22.875G
	 FD_13_dm01cel01	 normal	 22.875G
	 FD_14_dm01cel01	 normal	 22.875G
	 FD_15_dm01cel01	 normal	 22.875G




TO REVIEW COLLECTED DATA FROM DM01CEL02 FOR EXADATA CELLDISK PREDICTIVE FAILURES 




NOTE: Celldisk Name, Status, Size Attributes

	 CD_00_dm01cel02	 normal	 528.734375G
	 CD_01_dm01cel02	 normal	 528.734375G
	 CD_02_dm01cel02	 normal	 557.859375G
	 CD_03_dm01cel02	 normal	 557.859375G
	 CD_04_dm01cel02	 normal	 557.859375G
	 CD_05_dm01cel02	 normal	 557.859375G
	 CD_06_dm01cel02	 normal	 557.859375G
	 CD_07_dm01cel02	 normal	 557.859375G
	 CD_08_dm01cel02	 normal	 557.859375G
	 CD_09_dm01cel02	 normal	 557.859375G
	 CD_10_dm01cel02	 normal	 557.859375G
	 CD_11_dm01cel02	 normal	 557.859375G
	 FD_00_dm01cel02	 normal	 22.875G
	 FD_01_dm01cel02	 normal	 22.875G
	 FD_02_dm01cel02	 normal	 22.875G
	 FD_03_dm01cel02	 normal	 22.875G
	 FD_04_dm01cel02	 normal	 22.875G
	 FD_05_dm01cel02	 normal	 22.875G
	 FD_06_dm01cel02	 normal	 22.875G
	 FD_07_dm01cel02	 normal	 22.875G
	 FD_08_dm01cel02	 normal	 22.875G
	 FD_09_dm01cel02	 normal	 22.875G
	 FD_10_dm01cel02	 normal	 22.875G
	 FD_11_dm01cel02	 normal	 22.875G
	 FD_12_dm01cel02	 normal	 22.875G
	 FD_13_dm01cel02	 normal	 22.875G
	 FD_14_dm01cel02	 normal	 22.875G
	 FD_15_dm01cel02	 normal	 22.875G




TO REVIEW COLLECTED DATA FROM DM01CEL03 FOR EXADATA CELLDISK PREDICTIVE FAILURES 




NOTE: Celldisk Name, Status, Size Attributes

	 CD_00_dm01cel03	 normal	 528.734375G
	 CD_01_dm01cel03	 normal	 528.734375G
	 CD_02_dm01cel03	 normal	 557.859375G
	 CD_03_dm01cel03	 normal	 557.859375G
	 CD_04_dm01cel03	 normal	 557.859375G
	 CD_05_dm01cel03	 normal	 557.859375G
	 CD_06_dm01cel03	 normal	 557.859375G
	 CD_07_dm01cel03	 normal	 557.859375G
	 CD_08_dm01cel03	 normal	 557.859375G
	 CD_09_dm01cel03	 normal	 557.859375G
	 CD_10_dm01cel03	 normal	 557.859375G
	 CD_11_dm01cel03	 normal	 557.859375G
	 FD_00_dm01cel03	 normal	 22.875G
	 FD_01_dm01cel03	 normal	 22.875G
	 FD_02_dm01cel03	 normal	 22.875G
	 FD_03_dm01cel03	 normal	 22.875G
	 FD_04_dm01cel03	 normal	 22.875G
	 FD_05_dm01cel03	 normal	 22.875G
	 FD_06_dm01cel03	 normal	 22.875G
	 FD_07_dm01cel03	 normal	 22.875G
	 FD_08_dm01cel03	 normal	 22.875G
	 FD_09_dm01cel03	 normal	 22.875G
	 FD_10_dm01cel03	 normal	 22.875G
	 FD_11_dm01cel03	 normal	 22.875G
	 FD_12_dm01cel03	 normal	 22.875G
	 FD_13_dm01cel03	 normal	 22.875G
	 FD_14_dm01cel03	 normal	 22.875G
	 FD_15_dm01cel03	 normal	 22.875G




