   1 | 12/13/2011 | 01:59:51 | System ACPI Power State #0x26 | S5/G2: soft-off | Asserted
   2 | 12/13/2011 | 02:30:45 | System Boot Initiated | System Restart | Asserted
   3 | 12/13/2011 | 02:30:46 | System Boot Initiated | Initiated by hard reset | Asserted
   4 | 12/13/2011 | 02:30:46 | System Firmware Progress | Memory initialization | Asserted
   5 | 12/13/2011 | 02:30:46 | System Firmware Progress | Primary CPU initialization | Asserted
   6 | 12/13/2011 | 02:30:48 | System Boot Initiated | Initiated by warm reset | Asserted
   7 | 12/13/2011 | 02:30:49 | System Firmware Progress | Memory initialization | Asserted
   8 | 12/13/2011 | 02:30:49 | System Firmware Progress | Primary CPU initialization | Asserted
   9 | 12/13/2011 | 02:30:51 | System Boot Initiated | Initiated by warm reset | Asserted
   a | 12/13/2011 | 02:30:52 | System Firmware Progress | Memory initialization | Asserted
   b | 12/13/2011 | 02:30:52 | System Firmware Progress | Primary CPU initialization | Asserted
   c | 12/13/2011 | 02:30:54 | System ACPI Power State #0x26 | S0/G0: working | Asserted
   d | 12/13/2011 | 02:30:54 | System ACPI Power State #0x26 | S5/G2: soft-off | Deasserted
   e | 12/13/2011 | 02:31:29 | System Firmware Progress | Management controller initialization | Asserted
   f | 12/13/2011 | 02:31:29 | System Firmware Progress | Secondary CPU Initialization | Asserted
  10 | 12/13/2011 | 02:31:40 | System Firmware Progress | Video initialization | Asserted
  11 | 12/13/2011 | 02:31:46 | System Firmware Progress | Keyboard controller initialization | Asserted
  12 | 12/13/2011 | 02:31:58 | System Firmware Progress | Option ROM initialization | Asserted
  13 | 12/13/2011 | 02:32:01 | System Firmware Progress | Option ROM initialization | Asserted
  14 | 12/13/2011 | 02:32:04 | System Firmware Progress | Option ROM initialization | Asserted
  15 | 12/13/2011 | 02:32:08 | System Firmware Progress | Option ROM initialization | Asserted
  16 | 12/13/2011 | 02:32:11 | System Firmware Progress | Option ROM initialization | Asserted
  17 | 12/13/2011 | 02:32:26 | System Firmware Progress | Option ROM initialization | Asserted
  18 | 12/13/2011 | 02:32:30 | System Firmware Progress | Option ROM initialization | Asserted
  19 | 12/13/2011 | 02:32:38 | System Firmware Progress | System boot initiated | Asserted
  1a | 12/13/2011 | 03:42:15 | System ACPI Power State #0x26 | S0/G0: working | Deasserted
  1b | 12/13/2011 | 03:42:15 | System ACPI Power State #0x26 | S5/G2: soft-off | Asserted
  1c | 01/05/2012 | 14:09:37 | Voltage #0x6d | Lower Critical going low 
  1d | 01/05/2012 | 14:09:42 | Power Supply #0x65 | State Deasserted
  1e | 01/05/2012 | 14:09:44 | System Boot Initiated | Initiated by hard reset | Asserted
  1f | 01/05/2012 | 14:09:44 | System Firmware Progress | Memory initialization | Asserted
  20 | 01/05/2012 | 14:09:44 | System Firmware Progress | Primary CPU initialization | Asserted
  21 | 01/05/2012 | 14:10:28 | Voltage #0x6d | Lower Critical going high
  22 | 01/05/2012 | 14:10:28 | Power Supply #0x65 | State Asserted
  23 | 01/05/2012 | 16:32:42 | Button | Power Button pressed | Asserted
  24 | 01/05/2012 | 16:32:44 | System Boot Initiated | Initiated by hard reset | Asserted
  25 | 01/05/2012 | 16:32:44 | System Firmware Progress | Memory initialization | Asserted
  26 | 01/05/2012 | 16:32:44 | System Firmware Progress | Primary CPU initialization | Asserted
  27 | 01/05/2012 | 16:32:46 | System Boot Initiated | Initiated by warm reset | Asserted
  28 | 01/05/2012 | 16:32:46 | System Firmware Progress | Memory initialization | Asserted
  29 | 01/05/2012 | 16:32:47 | System Firmware Progress | Primary CPU initialization | Asserted
  2a | 01/05/2012 | 16:32:48 | System Boot Initiated | Initiated by hard reset | Asserted
  2b | 01/05/2012 | 16:32:48 | System Firmware Progress | Memory initialization | Asserted
  2c | 01/05/2012 | 16:32:48 | System Firmware Progress | Primary CPU initialization | Asserted
  2d | 01/05/2012 | 16:32:50 | System ACPI Power State #0x26 | S0/G0: working | Asserted
  2e | 01/05/2012 | 16:32:50 | System ACPI Power State #0x26 | S5/G2: soft-off | Deasserted
  2f | 01/05/2012 | 16:32:51 | System Boot Initiated | Initiated by warm reset | Asserted
  30 | 01/05/2012 | 16:32:51 | System Firmware Progress | Memory initialization | Asserted
  31 | 01/05/2012 | 16:32:51 | System Firmware Progress | Primary CPU initialization | Asserted
  32 | 01/05/2012 | 16:33:27 | System Firmware Progress | Management controller initialization | Asserted
  33 | 01/05/2012 | 16:33:27 | System Firmware Progress | Secondary CPU Initialization | Asserted
